_c0,_c1,Hormone
Addissons Disease,mayCauseUnderProductionOf,20alpha-Hydroxyprogesterone
Addissons Disease,mayCauseUnderProductionOf,Aldosterone
Addissons Disease,mayCauseUnderProductionOf,Allotetrahydrocorticosterone
Addissons Disease,mayCauseUnderProductionOf,"4,5beta-Dihydrocortisone"
Addissons Disease,mayCauseUnderProductionOf,beta-cortol
Addissons Disease,mayCauseUnderProductionOf,5beta-dihydrodeoxycorticosterone
Addissons Disease,mayCauseUnderProductionOf,17-hydroxyprogesterone
Addissons Disease,mayCauseUnderProductionOf,Pregnenolone
Addissons Disease,mayCauseUnderProductionOf,"5beta-pregnane-3,20-dione"
Addissons Disease,mayCauseUnderProductionOf,21-deoxycortisol
Addissons Disease,mayCauseUnderProductionOf,3a-OH-5b-Pregnane-20-one
Addissons Disease,mayCauseUnderProductionOf,11-Dehydrocorticosterone
Addissons Disease,mayCauseUnderProductionOf,"17alpha-hydroxy-5beta-Pregnane-3,11,20-trione"
Addissons Disease,mayCauseUnderProductionOf,20alpha-Hydroxycortisol
Addissons Disease,mayCauseUnderProductionOf,18-oxo-dihydrocortisol
Addissons Disease,mayCauseUnderProductionOf,18-Hydroxy-11-dehydrotetrahydrocorticosterone
Addissons Disease,mayCauseUnderProductionOf,11-Ketoetiocholanolone
Addissons Disease,mayCauseUnderProductionOf,Cortisol
Addissons Disease,mayCauseUnderProductionOf,Cortisone
Addissons Disease,mayCauseUnderProductionOf,18-oxo-tetrahydrocortisol
Addissons Disease,mayCauseUnderProductionOf,alpha-cortolone
Addissons Disease,mayCauseUnderProductionOf,17-hydroxypregnenolone
Addissons Disease,mayCauseUnderProductionOf,Progesterone
Addissons Disease,mayCauseUnderProductionOf,"5beta-pregnane-11beta,17alpha,20beta,21-tetrol-3-one"
Addissons Disease,mayCauseUnderProductionOf,"5alpha-pregnane-3,20-dione"
Addissons Disease,mayCauseUnderProductionOf,Glucuronides
Addissons Disease,mayCauseUnderProductionOf,"11b, 21-Dihydroxy-3,20-5b-Pregnan-18-al"
Addissons Disease,mayCauseUnderProductionOf,Tetrahydrocortisone
Addissons Disease,mayCauseUnderProductionOf,"20R,22R-dihydroxycholesterol"
Addissons Disease,mayCauseUnderProductionOf,"5beta-pregnane-17alpha,20beta,21-triol-3,11-dione"
Addissons Disease,mayCauseUnderProductionOf,beta-cortolic acid
Addissons Disease,mayCauseUnderProductionOf,22R-Hydroxycholesterol
Addissons Disease,mayCauseUnderProductionOf,Pregnanediol-3-glucuronide
Addissons Disease,mayCauseUnderProductionOf,Dihydrotestosterone
Addissons Disease,mayCauseUnderProductionOf,"5beta-Pregnane-17alpha,20alpha-diol-3,11-dione"
Addissons Disease,mayCauseUnderProductionOf,20beta-Dihydrocortisone
Addissons Disease,mayCauseUnderProductionOf,Cortolonic acid
Addissons Disease,mayCauseUnderProductionOf,Corticosterone
Addissons Disease,mayCauseUnderProductionOf,5beta-Dihydroaldosterone
Addissons Disease,mayCauseUnderProductionOf,alpha-Cortol
Addissons Disease,mayCauseUnderProductionOf,beta-cortolone
Addissons Disease,mayCauseUnderProductionOf,Dehydroepiandrosterone
Addissons Disease,mayCauseUnderProductionOf,21-Deoxycortisone
Addissons Disease,mayCauseUnderProductionOf,5alpha-Dihydrocortisol
Addissons Disease,mayCauseUnderProductionOf,Tetrahydrocortisol
Addissons Disease,mayCauseUnderProductionOf,"3a,11b,21-Trihydroxy-20-Oxo-5b-Pregnan-18-al"
Addissons Disease,mayCauseUnderProductionOf,3alpha-hydroxy-5beta-pregnan-20-one
Addissons Disease,mayCauseUnderProductionOf,Testosterone
Addissons Disease,mayCauseUnderProductionOf,18-hydroxycortisol
