PhenoTypeId
LowWaistToHipRatio
BMIOverweight
BMIObese
BMINormal
BMIUnderweight
Smoker
NonSmoker
HighWaistToHipRatio
LowBloodPressure
HyperState2BP
HyperStage1BP
NormalBP
PreHyperBP
LowBP
MediumWaistToHipRatio
